Station ID,Name,Latitude,Longitude,Road Number,Municipality,Province
C04619,vt12_Lahti_Okeroinen,60.955209,25.595915,,,
C04620,vt12_Lahti_Patomäki_Okeroinen_Puomi_Ramppi,60.952949,25.597012,,,
C04621,st140_Lahti_Jokimaa,60.945882,25.604762,,,
C04622,st167_Lahti_Uudenmaankatu,60.93605,25.632893,,,
C04623,vt12_Lahti_Patomäki_Ramppi_Länsi,60.954816,25.616909,,,
C04624,vt12_Lahti_Patomäki_Puomi_Länsi,60.95435,25.629302,,,
C04625,vt12_Lahti_Patomäki_Länsi,60.954484,25.629296,,,
C04629,vt12_Lahti_Liipola_Ajokadun_silta,60.957175,25.658469,,,
C04630,vt12_Lahti_Patomäki_Ramppi_Itä,60.957273,25.65298,,,
C04631,vt12_Lahti_Liipola_Ramppi_Länsi,60.955936,25.651208,,,
C04632,vt12_Lahti_Patomäki_Puomi_Itä,60.955496,25.642289,,,
C04637,vt12_Lahti_Liipola_Puomi_Länsi,60.955878,25.66434,,,
C04638,vt12_Lahti_Liipola_Länsi,60.956085,25.664461,,,
C04646,vt12_Lahti_Kujala,60.956368,25.690505,,,
C04647,vt12_Lahti_Liipola_Puomi_Ramppi_Itä,60.957316,25.690078,,,
C04648,vt12_Lahti_Liipola_Puomi_Itä,60.95694,25.684683,,,
C04657,vt4_Lahti_Renkomäki,60.931574,25.635945,,,
C04658,vt4_Lahti_Kujala,60.959422,25.69989,,,
C04659,vt12_Kangasala_Kiveliö,61.491056,23.948109,,,
C04660,vt12_Lahti_Laune,60.956574,25.649538,,,
C04661,vt12_Hollola_Okeroinen,60.960679,25.534522,,,
C06501,vt5_Mikkeli,61.680316,27.272063,,,
C06502,vt14_Hiismäki,61.966783,28.304476,,,
C06503,vt23_Heinävesi_Lamminpää,62.524064,28.46415,,,
C06504,st438_Sulkava_Lohilahti,61.610707,28.695867,,,
C06505,vt23_Pieksämäki_Naarajärvi,62.279094,27.047652,,,
C06506,st435_Sulkava_Pieksuu,61.799361,28.318466,,,
C06507,vt13_Kangasniemi_Häppälä_K,62.159236,26.318696,,,
C06508,vt14_Savonlinna_Laitaatsalmi,61.877877,28.846705,,,
C06509,vt14_Savonlinna_Hevonpäänniemi,61.879312,28.854191,,,
C06510,vt14_Savonlinnan_ratapiha,61.876607,28.874285,,,
C06511,vt14_Savonlinna_Ruislahti,61.868272,28.899295,,,
C06512,vt14_Savonlinna_Miekkoniemi,61.868182,28.923174,,,
C06513,vt13_Kangasniemi,62.002904,26.657432,,,
C06514,vt14_Savonlinna_Nojanmaa,61.876495,28.953939,,,
C06515,vt23_Suurmäki_K,62.533583,28.919969,,,
C06516,st476_Heinävesi,62.422574,28.632117,,,
C06517,vt9_Pieksämäki_Mehtiö,62.463608,26.836214,,,
C06519,vt14_Savonlinna_Laitaatsalmi_silta2,61.878477,28.838162,,,
C06521,st438_Sulkava_Vekaransalmi,61.738281,28.500378,,,
C06522,kt62_Puumala_Huuhkaala,61.482832,28.262171,,,
C06523,vt5_Juva_Nuutilanmäki,61.795714,27.598307,,,
C06524,mt474_Savonlinna_Savonranta,62.170941,29.210756,,,
C07501,st524_Lieksa_Nurmijärvi,63.52359,29.995521,,,
C07502,st522_Lieksa_Hatunkylä,63.283638,30.53234,,,
C07503,st500_Joensuu_Hoilola_K,62.345539,30.850259,,,
C07504,kt71_Kitee_Väärämäki,62.053425,29.607324,,,
C07505,vt6_Kitee_Kousa,61.974388,29.873687,,,
C07506,kt73_Lieksa_Kyyrönlampi,63.046943,30.126072,,,
C07507,vt6_Kontiolahti_Romppala,62.957283,29.804021,,,
C08505,kt73_Lieksa_Vieki,63.476113,29.623547,,,
C08506,vt5_Leppävirta_Oravikoski,62.589621,27.604964,,,
C08508,vt5_Sonkajärvi_Sukeva,63.869617,27.440439,,,
C08509,vt9_Suonenjoki_Purola,62.634732,27.120953,,,
C08510,vt5_Kuopio_Vehmasmäki,62.71901,27.577415,,,
C08511,vt6_Nurmes_Lamminkangas,63.564128,29.010369,,,
C08517,kt73_Uimaharju,62.907214,30.226003,,,
C08518,vt6_Kitee_Puhos,62.083314,29.949585,,,
C08519,vt9_Paakkila,62.78615,28.664434,,,
C08520,vt27_Iisalmi_Runni,63.610419,26.916136,,,
C08521,vt5_Varkaus_Huruslahti,62.354763,27.815048,,,
C08522,vt5_Lapinlahti_Salonsaari,63.38146,27.390516,,,
C08523,vt9_Tohmajärvi,62.221872,30.361484,,,
C08524,vt5_Kuopio_Päiväranta,62.929123,27.674805,,,
C08525,vt6_Juuka_Ahmovaara,63.094644,29.610078,,,
C08526,kt77_Keitele,63.186155,26.33446,,,
C08527,kt75_Rautavaara_Hankamäki,63.340184,28.454163,,,
C08528,vt9_Kuopio_Vartiala,62.931678,28.045121,,,
C08529,vt23_Liperi_Kaatamo,62.564705,29.145983,,,
C08530,vt9_Ulla,62.700715,28.96071,,,
